name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,01/11/2015,31.5,22.3,26.1,35.6,22.3,27.3,23.3,86.2,0.552,100,4.17,rain,0,0,31.3,13,110.2,1015.7,67.1,6.9,145.2,12.4,6,,2015-11-01T06:13:05,2015-11-01T17:53:08,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,02/11/2015,31,21.4,25.5,35.5,21.4,26.6,22.9,87.3,46.914,100,8.33,rain,0,0,22.3,12,130.5,1016.9,82.5,5.9,108.8,9.3,4,,2015-11-02T06:13:22,2015-11-02T17:52:48,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,03/11/2015,30.5,19.9,24.4,35.6,19.9,25.5,23,92.6,46.914,100,16.67,rain,0,0,18.7,12.8,177.1,1017.1,84.5,6.7,181.5,15.7,7,,2015-11-03T06:13:40,2015-11-03T17:52:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,04/11/2015,30.5,20.7,25.5,37,20.7,27.2,23.7,90.7,30.356,100,8.33,rain,0,0,18.7,13.8,79.6,1016.5,68.7,5.8,166.9,14.4,7,,2015-11-04T06:13:58,2015-11-04T17:52:11,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,05/11/2015,31,20.3,25.5,35,20.3,26.5,21.9,82.1,0.9,100,16.67,rain,0,0,28.4,13,66.1,1016.4,48.1,7.1,218.7,18.8,8,,2015-11-05T06:14:17,2015-11-05T17:51:54,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,06/11/2015,30.5,20.6,25.7,32.8,20.6,26.6,21.3,78.9,0,0,0,,0,0,31.7,16.6,57.4,1015.5,49.6,7.2,247.4,21.3,9,,2015-11-06T06:14:37,2015-11-06T17:51:38,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,42705699999,VOBL,remote,43295099999"
bangalore,07/11/2015,31,21,25.5,33.1,21,26.1,21.4,80.6,0,0,0,,0,0,34.2,17.5,72.1,1016.3,41.5,7.3,211.2,18.2,9,,2015-11-07T06:14:57,2015-11-07T17:51:23,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,42705699999,VOBL,43295099999"
bangalore,08/11/2015,30,20.1,25,34.1,20.1,25.9,22.1,85.3,0,0,0,,0,0,43.2,19.5,38,1016.5,54.5,7,201.2,17.3,8,,2015-11-08T06:15:18,2015-11-08T17:51:09,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,42705699999,VOBL,43295099999"
bangalore,09/11/2015,25,19.4,22.9,25,19.4,22.9,22.3,97,22.078,100,16.67,rain,0,0,48.2,21.4,350.9,1013.5,91.4,4.4,59.9,5.1,3,,2015-11-09T06:15:39,2015-11-09T17:50:56,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43296099999,42705699999,VOBL,43295099999"
bangalore,10/11/2015,23.1,18.6,21.2,23.1,18.6,21.2,21.1,99,26.677,100,16.67,rain,0,0,55.8,20.5,323.9,1011.8,99.2,4,45,3.9,2,,2015-11-10T06:16:01,2015-11-10T17:50:45,0.95,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43296099999,42705699999,VOBL,43295099999"
