date,event_name,category,impact_level
2015-11-11,Diwali,Festival,Very High
2015-12-25,Christmas,Holiday,High
2015-12-31,New Year’s Eve,Holiday,Very High
2016-01-01,New Year’s Day,Holiday,High
2016-01-15,Makara Sankranti,Festival,Medium
2016-03-24,Holi,Festival,Very High
2016-04-08,Ugadi,Festival,High
2016-08-15,Independence Day,Holiday,High
2016-09-05,Ganesha Chaturthi,Festival,Very High
2016-10-11,Dussehra,Festival,High
2016-10-29,Diwali,Festival,Very High
2016-12-25,Christmas,Holiday,High
2016-12-31,New Year’s Eve,Holiday,Very High
2017-01-01,New Year’s Day,Holiday,High
2017-01-14,Makara Sankranti,Festival,Medium
2017-03-13,Holi,Festival,Very High
2017-03-29,Ugadi,Festival,High
2017-04-14,Good Friday,Holiday,Medium
2017-05-01,Labour Day,Holiday,Medium
2017-06-23,Eid al-Fitr,Festival,High
